date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:42	83885/83885	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20May%202018%2019:06:41%20GMT	http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp	C:/Users/Bar-PC/Desktop/Site/www.one.co.il/Article/17-18/1,1,2,59050/313584f05b.html	(from )
22:06:42	141/141	---M-Z	200	added ('OK')	text/plain	etag:%223d3700282d21:0%22	http://www.one.co.il/robots.txt		(from )
22:06:43	40582/40582	---MCZ	200	added ('OK')	text/css	etag:W/%22977323326d3b4ab22afa6fe64e5a93cc%22	http://releases.flowplayer.org/7.2.5/commercial/skin/skin.css	C:/Users/Bar-PC/Desktop/Site/releases.flowplayer.org/7.2.5/commercial/skin/skin.css	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:06:46	1896/1896	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e1642ef15061d7e23076c5b81dbd3c6%22	http://releases.flowplayer.org/audio/flowplayer.audio.min.js	C:/Users/Bar-PC/Desktop/Site/releases.flowplayer.org/audio/flowplayer.audio.min.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:06:47	3188/3188	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273a0d818e0031ef33e02105bd2136964%22	http://releases.flowplayer.org/vod-quality-selector/flowplayer.vod-quality-selector.min.js	C:/Users/Bar-PC/Desktop/Site/releases.flowplayer.org/vod-quality-selector/flowplayer.vod-quality-selector.min.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:06:49	35175/35175	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Apr%202018%2018:13:11%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Bar-PC/Desktop/Site/www.google-analytics.com/analytics.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:06:49	73204/73204	---M-Z	200	added ('OK')	application/javascript	etag:%22807b2329ca95d31:0%22	https://www.negishim.com/accessibility/accessibility_pro.js	C:/Users/Bar-PC/Desktop/Site/www.negishim.com/accessibility/accessibility_pro.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:06:50	9526/9526	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22f7f805b1fcf29c6d38088c8dc4db55ae%22	http://akamai.advsnx.net/CDN/sdk/plugins/fp72/plugin.js	C:/Users/Bar-PC/Desktop/Site/akamai.advsnx.net/CDN/sdk/plugins/fp72/plugin.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:06:50	1471/1471	---M-Z	200	added ('OK')	application/javascript	etag:W/%22md5-1012807-9933782e-72757661%22	http://player.h-cdn.com/loader.js?customer=citynetltd	C:/Users/Bar-PC/Desktop/Site/player.h-cdn.com/loader1b80.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
22:06:50	20644/20644	---M-Z	200	added ('OK')	application/x-javascript	etag:%22617c266d2afc64372c92a6998800f1b6%22	http://c.flx1.com/85-13224.js?id=13224&m=85	C:/Users/Bar-PC/Desktop/Site/c.flx1.com/85-13224a0a8.js	(from http://www.one.co.il/Article/17-18/1,1,2,59050/313584.html?ref=hp)
